GEOID,pop_pov,pov_rt
06001451703,4493,4.1
06001451704,4668,4.5
06001981900,58,0
06001982000,66,18.2
06001983200,573,7.5
06001990000,0,-
06003010000,1188,19.8
06005000101,3839,6.4
06005000102,1832,23.6
06005000200,4490,7.9
06005000301,1543,3.8
06005000303,5080,14.4
06005000304,4244,12.7
06005000401,4846,7.3
06005000402,4810,12.9
06005000500,2877,8
06007000102,4176,14.1
06007000103,4266,9.9
06007000104,5344,18.9
06007000201,3986,16.4
06007000202,3703,21
06007000300,4422,34.4
06007000401,3505,14.3
06007000402,7464,9.8
06007000501,3725,25.7
06007000502,4240,58
06007000601,3493,11.4
06007000603,2541,50.7
06007000604,4067,61.9
06007000700,4792,19.8
06007000800,5812,3.9
06007000901,2585,7.3
06007000903,6877,21.7
06007000904,6376,12.6
06007001000,3684,31.2
06007001100,4127,45.5
06007001200,3279,35.7
06007001300,4023,33
06007001400,5798,6.5
06007001500,5644,10
06007001600,4820,8
06007001702,6232,17.5
06007001703,2966,9.9
06007001704,3301,21
06007001800,5198,14.9
06007001900,3078,9.8
06007002000,5662,13.9
06007002100,4700,15.3
06007002200,5181,13.9
06007002300,5040,14
06007002400,4798,22.6
06007002500,4236,30.5
06007002601,2206,9.5
06007002602,3329,12.9
06007002700,5413,20.2
06007002800,3861,32.2
06007002900,3267,20.8
06007003001,2751,39.2
06007003002,3398,40.9
06007003100,4317,10.9
06007003200,4265,26.4
06007003300,4247,20.2
06007003400,3109,12.2
06007003501,3311,18.2
06007003502,4540,20.4
06007003600,3705,16.1
06007003700,4669,23.5
06009000120,4769,8.7
06009000121,4338,13.8
06009000122,3543,13.4
06009000210,10341,11.2
06009000220,6338,8.8
06009000300,6805,19.9
06009000400,3003,21.8
06009000501,3358,9.2
06009000503,1639,6.3
06009000504,382,14.4
06011000100,5345,13.7
06011000200,4979,15
06011000300,6024,13.1
06011000400,2379,17.3
06011000500,2557,11.6
06013301000,4764,7.1
06013302005,7118,16.6
06013302006,3866,3.1
06013302007,7006,8.9
06013302008,8089,8.5
06013302009,7473,16.1
06013302010,11515,3.6
06013303102,8893,6
06013303103,12200,14.7
06013303201,11652,8.5
06013303202,7171,2.1
06013303203,9636,4.7
06013303204,4759,15.3
06013303205,8860,5.4
06013304001,4700,8.2
06013304002,1561,11.5
06013304003,4026,9
06013304004,3794,4.4
06013304005,8287,8
06013305000,6220,15.6
06013306002,3320,7.5
06013306003,5131,19.6
06013306004,3761,15.6
06013307101,4480,9.2
06013307102,5346,20.8
06013307201,3506,22.5
06013307202,4129,30.2
06013307204,4194,16.8
06013307205,6941,26.7
06013308001,7685,29.6
06013308002,4321,3.5
06013309000,3525,14.9
06013310000,6398,20
06013311000,5426,19
06013312000,2151,25.8
06013313101,6964,23
06013313102,4034,13.2
06013313103,8483,12.3
06013313203,3257,3.1
06013313204,5420,10.2
06013313205,1749,2
06013313206,6158,13.7
06013314102,5722,8.8
06013314103,6309,28.4
06013314104,8376,26.3
06013314200,6684,15.5
06013315000,3647,11
06013316000,935,33.8
06013317000,2300,8
06013318000,3837,7.8
06013319000,8198,10.9
06013320001,4203,16.8
06013320003,2704,1.5
06013320004,6380,5.2
06013321101,6553,2.6
06013321102,6816,4.2
06013321103,4297,2
06013321200,5405,13.8
06013322000,6260,10.7
06013323000,4578,3.6
06013324001,5652,8.1
06013324002,5470,8.5
06013325000,5656,6.6
06013326000,3493,4.2
06013327000,7810,9.2
06013328000,2445,22
06013329000,6239,6.2
06013330000,5595,11.1
06013331000,6948,15.5
06013332000,8353,9.3
06013333101,4435,6.2
06013333102,4282,5.8
06013333200,6047,4.2
06013334001,4165,7.2
06013334004,7858,9.9
06013334006,4834,1.6
06013334200,7442,1.1
06013335000,3387,10.8
06013336101,5294,21.9
06013336102,7456,24.3
06013336201,4221,12.4
06013336202,5945,29.7
06013337100,3627,5.8
06013337200,7907,11
06013337300,5982,3.3
06013338101,5076,12.3
06013338102,3536,6.5
06013338201,3810,5.3
06013338203,5526,7.6
06013338204,6121,4.3
06013338301,2891,4.5
06013338302,6103,4.8
06013339001,3501,7.5
06013339002,7097,13.7
